BSSID,DATANUM,RSSI,REGION
f4:d9:fb:d3:ea:43,1,-55,REGION10
f4:d9:fb:d3:ea:42,1,-56,REGION10
f4:d9:fb:d3:ea:44,1,-56,REGION10
f4:d9:fb:d3:ea:45,1,-56,REGION10
f4:d9:fb:d3:ea:46,1,-56,REGION10
f4:d9:fb:d3:ea:41,1,-57,REGION10
64:e5:99:a4:f5:4c,1,-57,REGION10
f4:d9:fb:cf:cd:6d,1,-59,REGION10
f4:d9:fb:cf:cd:6e,1,-61,REGION10
f4:d9:fb:cf:cd:6a,1,-61,REGION10
f4:d9:fb:cf:cd:6c,1,-61,REGION10
f4:d9:fb:cf:cd:6c,1,-62,REGION10
f4:d9:fb:cf:cd:6b,1,-62,REGION10
f4:d9:fb:cf:cd:69,1,-62,REGION10
2a:56:5a:21:83:62,1,-63,REGION10
64:e5:99:a4:f5:48,1,-63,REGION10
f4:d9:fb:d0:63:6d,1,-64,REGION10
f4:d9:fb:d0:63:6e,1,-64,REGION10
f4:d9:fb:d0:63:6c,1,-64,REGION10
f4:d9:fb:d0:63:6b,1,-64,REGION10
f4:d9:fb:d0:63:6a,1,-64,REGION10
f4:d9:fb:d2:8e:0c,1,-64,REGION10
f4:d9:fb:d3:ea:4d,1,-65,REGION10
f4:d9:fb:d2:8e:0e,1,-66,REGION10
f4:d9:fb:d2:8e:0b,1,-66,REGION10
f4:d9:fb:d3:ea:4e,1,-66,REGION10
f4:d9:fb:d2:8e:0d,1,-67,REGION10
f4:d9:fb:d2:8e:0a,1,-67,REGION10
f4:d9:fb:d2:8e:0c,1,-67,REGION10
f4:d9:fb:d3:ea:4b,1,-67,REGION10
f4:d9:fb:d3:ea:4a,1,-67,REGION10
f4:d9:fb:d3:ea:49,1,-67,REGION10
f4:d9:fb:d3:ea:4c,1,-67,REGION10
f4:d9:fb:d3:ea:4c,1,-67,REGION10
f4:d9:fb:d2:8e:09,1,-67,REGION10
64:e5:99:a5:2b:58,1,-68,REGION10
f4:d9:fb:d0:63:62,1,-71,REGION10
f4:d9:fb:d0:63:61,1,-71,REGION10
f4:d9:fb:d0:63:65,1,-71,REGION10
f4:d9:fb:d0:63:63,1,-71,REGION10
f4:d9:fb:d0:63:64,1,-71,REGION10
f4:d9:fb:cf:d9:24,1,-72,REGION10
f4:d9:fb:cf:d9:25,1,-72,REGION10
f4:d9:fb:cf:d9:26,1,-72,REGION10
f4:d9:fb:cf:d9:23,1,-72,REGION10
f4:d9:fb:cf:d1:ad,1,-73,REGION10
f4:d9:fb:cf:d1:ae,1,-73,REGION10
f4:d9:fb:cf:d9:22,1,-73,REGION10
f4:d9:fb:cf:d9:21,1,-73,REGION10
f4:d9:fb:cf:d1:ac,1,-73,REGION10
f4:d9:fb:cf:d1:ab,1,-73,REGION10
f4:d9:fb:cf:d1:aa,1,-73,REGION10
f4:d9:fb:d0:38:e4,1,-73,REGION10
f4:d9:fb:cf:d1:a9,1,-73,REGION10
f4:d9:fb:d0:38:e5,1,-75,REGION10
f4:d9:fb:d0:38:e2,1,-75,REGION10
f4:d9:fb:d0:38:e6,1,-75,REGION10
f4:d9:fb:d0:38:e3,1,-75,REGION10
54:a0:50:d8:20:68,1,-76,REGION10
f4:d9:fb:d0:38:e1,1,-76,REGION10
f4:d9:fb:d3:eb:04,1,-76,REGION10
f4:d9:fb:d3:eb:03,1,-76,REGION10
f4:d9:fb:d0:24:2d,1,-76,REGION10
f4:d9:fb:d3:eb:02,1,-77,REGION10
f4:d9:fb:d3:eb:01,1,-77,REGION10
f4:d9:fb:d3:eb:05,1,-77,REGION10
f4:d9:fb:d0:24:24,1,-78,REGION10
f4:d9:fb:d0:24:23,1,-78,REGION10
f4:d9:fb:d0:24:25,1,-78,REGION10
f4:d9:fb:d0:24:26,1,-78,REGION10
f4:d9:fb:d2:8e:02,1,-79,REGION10
f4:d9:fb:cf:cd:62,1,-79,REGION10
f4:d9:fb:d2:8e:03,1,-79,REGION10
f4:d9:fb:d2:8e:05,1,-79,REGION10
f4:d9:fb:cf:cd:64,1,-79,REGION10
f4:d9:fb:d0:38:ee,1,-79,REGION10
f4:d9:fb:cf:cd:65,1,-79,REGION10
f4:d9:fb:d0:24:21,1,-79,REGION10
f4:d9:fb:d0:24:22,1,-79,REGION10
f4:d9:fb:cf:cd:66,1,-79,REGION10
f4:d9:fb:d2:8e:04,1,-80,REGION10
f4:d9:fb:d0:18:ac,1,-80,REGION10
f4:d9:fb:d0:18:ab,1,-80,REGION10
f4:d9:fb:d0:18:aa,1,-80,REGION10
f4:d9:fb:cf:cd:61,1,-80,REGION10
f4:d9:fb:d0:18:ae,1,-80,REGION10
